
Episode: 75, total numsteps: 37500, episode steps: 500, reward: [175.12067665 180.01279865 183.48898935 186.7969354  188.62296187]
Episode: 76, total numsteps: 38000, episode steps: 500, reward: [174.04556061 182.39699902 185.27003342 189.66958429 185.37604801]
Episode: 77, total numsteps: 38500, episode steps: 500, reward: [177.73443454 184.82280332 186.41356421 187.36347537 186.56303672]
Episode: 78, total numsteps: 39000, episode steps: 500, reward: [174.46888154 184.44884269 183.21620957 191.42380143 183.38369109]
Episode: 79, total numsteps: 39500, episode steps: 500, reward: [175.83743365 186.58631061 184.43698187 188.31698253 182.38580961]
Episode: 80, total numsteps: 40000, episode steps: 500, reward: [176.87097051 183.90125856 183.9482688  186.9448664  188.93407037]
Episode: 81, total numsteps: 40500, episode steps: 500, reward: [176.71198643 183.45211248 185.08769045 193.37311202 184.58507938]
Episode: 82, total numsteps: 41000, episode steps: 500, reward: [177.98756546 180.55636942 182.8214472  186.69680232 183.03825908]
Episode: 83, total numsteps: 41500, episode steps: 500, reward: [174.206938   182.90778711 183.7712785  187.20375589 184.38660949]
Episode: 84, total numsteps: 42000, episode steps: 500, reward: [173.95643324 183.04960525 184.47912594 189.26069944 185.77683013]
Episode: 85, total numsteps: 42500, episode steps: 500, reward: [179.09141756 181.72406122 183.39845116 190.49325481 186.45443684]
Episode: 86, total numsteps: 43000, episode steps: 500, reward: [177.55800273 180.74321843 183.03747301 188.29586735 185.52563035]
Episode: 87, total numsteps: 43500, episode steps: 500, reward: [178.36374002 179.94613338 186.16482354 189.02933203 185.36696643]
Episode: 88, total numsteps: 44000, episode steps: 500, reward: [175.80434658 182.27551854 185.23416255 188.15157343 186.31416093]
Episode: 89, total numsteps: 44500, episode steps: 500, reward: [177.97244649 183.24302912 184.72546821 185.11742717 185.86097947]
Episode: 90, total numsteps: 45000, episode steps: 500, reward: [177.56884062 183.4777799  184.94304025 190.03631924 184.57201758]
Episode: 91, total numsteps: 45500, episode steps: 500, reward: [176.43889243 182.77770305 182.41676718 188.2045961  186.11700401]
Episode: 92, total numsteps: 46000, episode steps: 500, reward: [178.23547572 183.10520219 184.46549038 187.33796218 183.08746214]
Episode: 93, total numsteps: 46500, episode steps: 500, reward: [175.80531501 181.95940252 183.37325789 190.99938329 185.52058344]
Episode: 94, total numsteps: 47000, episode steps: 500, reward: [177.76377425 182.78594103 186.70617789 188.21297867 182.56098034]
Episode: 95, total numsteps: 47500, episode steps: 500, reward: [177.6824477  183.79074724 183.02515207 189.64738924 185.6329623 ]
Episode: 96, total numsteps: 48000, episode steps: 500, reward: [175.49848338 183.21274086 185.6901742  190.04105793 182.87054908]
Episode: 97, total numsteps: 48500, episode steps: 500, reward: [177.75971447 182.67521329 186.8934636  188.99760602 187.12728482]
Episode: 98, total numsteps: 49000, episode steps: 500, reward: [177.24557758 184.92385546 184.70068467 187.35264637 185.54848633]
Episode: 99, total numsteps: 49500, episode steps: 500, reward: [179.11597186 182.10601926 186.06108817 187.27915234 187.37153232]
Episode: 100, total numsteps: 50000, episode steps: 500, reward: [175.42277648 183.23579317 183.81479932 186.6067661  185.80071519]
Episode: 101, total numsteps: 50500, episode steps: 500, reward: [177.26928547 179.29352485 186.57993806 190.11689802 184.59859899]
Episode: 102, total numsteps: 51000, episode steps: 500, reward: [177.65387908 185.89474424 184.58187955 190.44922882 185.49832196]
Episode: 103, total numsteps: 51500, episode steps: 500, reward: [180.71026593 183.28535951 182.74545878 189.89653131 184.46585164]
Episode: 104, total numsteps: 52000, episode steps: 500, reward: [176.6430652  182.79697079 185.0357593  186.11911936 185.00752297]
Episode: 105, total numsteps: 52500, episode steps: 500, reward: [175.6444595  179.66844114 183.2030476  185.55278525 183.99486608]
