
Episode: 87, total numsteps: 43500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 88, total numsteps: 44000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 89, total numsteps: 44500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 90, total numsteps: 45000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 91, total numsteps: 45500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 92, total numsteps: 46000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 93, total numsteps: 46500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 94, total numsteps: 47000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 95, total numsteps: 47500, episode steps: 500, reward: [-272.07259322 -201.52560929 -192.20391091 -143.19745975 -191.35927315]
Episode: 96, total numsteps: 48000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 97, total numsteps: 48500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 98, total numsteps: 49000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 99, total numsteps: 49500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 100, total numsteps: 50000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 101, total numsteps: 50500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 102, total numsteps: 51000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 103, total numsteps: 51500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 104, total numsteps: 52000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 105, total numsteps: 52500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 106, total numsteps: 53000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 107, total numsteps: 53500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 108, total numsteps: 54000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 109, total numsteps: 54500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 110, total numsteps: 55000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 111, total numsteps: 55500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 112, total numsteps: 56000, episode steps: 500, reward: [-272.07259322 -201.52059263 -192.20391091 -143.19745975 -191.35927315]
Episode: 113, total numsteps: 56500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 114, total numsteps: 57000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 115, total numsteps: 57500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 116, total numsteps: 58000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 117, total numsteps: 58500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 118, total numsteps: 59000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 119, total numsteps: 59500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 120, total numsteps: 60000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 121, total numsteps: 60500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 122, total numsteps: 61000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 123, total numsteps: 61500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 124, total numsteps: 62000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 125, total numsteps: 62500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927313]
Episode: 126, total numsteps: 63000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 127, total numsteps: 63500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 128, total numsteps: 64000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 129, total numsteps: 64500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 130, total numsteps: 65000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 131, total numsteps: 65500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 132, total numsteps: 66000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 133, total numsteps: 66500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 134, total numsteps: 67000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 135, total numsteps: 67500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 136, total numsteps: 68000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 137, total numsteps: 68500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 138, total numsteps: 69000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 139, total numsteps: 69500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 140, total numsteps: 70000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 141, total numsteps: 70500, episode steps: 500, reward: [-272.07259322 -201.5257184  -192.20391091 -143.19745975 -191.35927315]
Episode: 142, total numsteps: 71000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 143, total numsteps: 71500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 144, total numsteps: 72000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 145, total numsteps: 72500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 146, total numsteps: 73000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 147, total numsteps: 73500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 148, total numsteps: 74000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 149, total numsteps: 74500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 150, total numsteps: 75000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
