Episode: 94, total numsteps: 94000, episode steps: 1000, reward: [-659.92646012 -425.04550498 -455.72737193 -310.0061299  -392.95950891]
Episode: 95, total numsteps: 95000, episode steps: 1000, reward: [-658.03757906 -425.91212321 -460.19899515 -310.00612986 -394.7493254 ]
Episode: 96, total numsteps: 96000, episode steps: 1000, reward: [-680.32819318 -425.46745085 -454.42123733 -310.0061299  -397.74710107]
Episode: 97, total numsteps: 97000, episode steps: 1000, reward: [-679.11488715 -427.09632085 -468.6690989  -310.00612989 -396.25124094]
Episode: 98, total numsteps: 98000, episode steps: 1000, reward: [-662.39970499 -427.32143575 -462.95720359 -310.00612989 -395.87398103]
Episode: 99, total numsteps: 99000, episode steps: 1000, reward: [-679.59764323 -424.96659278 -460.79635679 -310.0061299  -394.6795835 ]
Episode: 100, total numsteps: 100000, episode steps: 1000, reward: [-662.44115083 -425.55702183 -459.53551197 -310.00612989 -395.86629225]
Episode: 101, total numsteps: 101000, episode steps: 1000, reward: [-661.01104679 -425.15898934 -469.19390047 -310.00612989 -401.79684062]
Episode: 102, total numsteps: 102000, episode steps: 1000, reward: [-676.1005086  -425.58095016 -459.58562966 -310.0061299  -396.8830131 ]
Episode: 103, total numsteps: 103000, episode steps: 1000, reward: [-668.53452592 -426.9194786  -463.26298644 -310.0061299  -396.2224414 ]
Episode: 104, total numsteps: 104000, episode steps: 1000, reward: [-675.60858869 -425.25977665 -464.46354052 -310.00612989 -396.19762743]
Episode: 105, total numsteps: 105000, episode steps: 1000, reward: [-666.85175555 -426.00128105 -468.09079466 -310.00612989 -393.69085766]
Episode: 106, total numsteps: 106000, episode steps: 1000, reward: [-674.17375305 -425.30836969 -458.37476382 -310.00612989 -395.88818384]
Episode: 107, total numsteps: 107000, episode steps: 1000, reward: [-655.71349263 -423.55935549 -461.87781138 -310.00612989 -396.71784797]
Episode: 108, total numsteps: 108000, episode steps: 1000, reward: [-670.59895202 -427.10524642 -468.77363677 -310.0061299  -395.18551282]
Episode: 109, total numsteps: 109000, episode steps: 1000, reward: [-671.51451793 -425.09938009 -467.91643343 -310.0061299  -399.85377691]
Episode: 110, total numsteps: 110000, episode steps: 1000, reward: [-665.93293973 -427.08688407 -462.98484435 -310.00612989 -398.32407379]
Episode: 111, total numsteps: 111000, episode steps: 1000, reward: [-669.32282684 -427.00903016 -464.22867809 -310.0061299  -397.77548713]
Episode: 112, total numsteps: 112000, episode steps: 1000, reward: [-673.64730921 -426.30576729 -467.56225363 -310.00612989 -396.95098299]
Episode: 113, total numsteps: 113000, episode steps: 1000, reward: [-673.77363131 -425.88819488 -468.94985439 -310.00612989 -395.7846771 ]
Episode: 114, total numsteps: 114000, episode steps: 1000, reward: [-677.24944565 -425.46743829 -462.67155612 -310.00612989 -394.63570929]
Episode: 115, total numsteps: 115000, episode steps: 1000, reward: [-678.50168424 -425.75304198 -465.72185948 -310.00612989 -394.86644805]
Episode: 116, total numsteps: 116000, episode steps: 1000, reward: [-672.50310184 -425.92175269 -464.67417659 -310.00612989 -395.03561743]
Episode: 117, total numsteps: 117000, episode steps: 1000, reward: [-669.20857452 -425.33704343 -471.00217544 -310.0061299  -396.72930963]
Episode: 118, total numsteps: 118000, episode steps: 1000, reward: [-671.352205   -427.41806509 -455.424879   -310.0061299  -395.9784461 ]
Episode: 119, total numsteps: 119000, episode steps: 1000, reward: [-666.76277273 -425.49017981 -463.42708762 -310.0061299  -396.34315513]
Episode: 120, total numsteps: 120000, episode steps: 1000, reward: [-672.98052522 -423.51089967 -461.54860433 -310.00612989 -396.49596252]
Episode: 121, total numsteps: 121000, episode steps: 1000, reward: [-684.88446376 -426.5855336  -461.13219595 -310.00612989 -394.28053723]
Episode: 122, total numsteps: 122000, episode steps: 1000, reward: [-683.4531272  -427.09632085 -460.80253401 -310.00612989 -394.4441748 ]
