Episode: 80, total numsteps: 80000, episode steps: 1000, reward: [-475.36579098 -417.18907093 -379.14446386 -374.34476353 -340.70478145]
Episode: 81, total numsteps: 81000, episode steps: 1000, reward: [-475.36579098 -418.81721699 -379.14446386 -374.53845613 -340.70478145]
Episode: 82, total numsteps: 82000, episode steps: 1000, reward: [-475.36579098 -417.79449995 -379.14446386 -374.66283999 -340.70478145]
Episode: 83, total numsteps: 83000, episode steps: 1000, reward: [-475.36579098 -418.46705566 -379.14446386 -374.160014   -340.70478145]
Episode: 84, total numsteps: 84000, episode steps: 1000, reward: [-475.36579098 -418.02263381 -379.14446386 -373.80804297 -340.70478145]
Episode: 85, total numsteps: 85000, episode steps: 1000, reward: [-475.36579098 -419.16382468 -379.14446386 -374.4743085  -340.70478145]
Episode: 86, total numsteps: 86000, episode steps: 1000, reward: [-475.36579098 -417.46770429 -379.14446386 -374.54466751 -340.70478145]
Episode: 87, total numsteps: 87000, episode steps: 1000, reward: [-475.36579098 -418.03473114 -379.14446386 -373.93823216 -340.70478145]
Episode: 88, total numsteps: 88000, episode steps: 1000, reward: [-475.36579098 -418.45084807 -379.14446386 -374.69392602 -340.70478145]
Episode: 89, total numsteps: 89000, episode steps: 1000, reward: [-475.36579098 -417.8024033  -379.14446386 -374.27090341 -340.70478145]
Episode: 90, total numsteps: 90000, episode steps: 1000, reward: [-475.36579098 -417.8718593  -379.14446386 -373.8166316  -340.70478145]
Episode: 91, total numsteps: 91000, episode steps: 1000, reward: [-475.36579098 -417.83817615 -379.14446386 -374.49534999 -340.69439208]
Episode: 92, total numsteps: 92000, episode steps: 1000, reward: [-475.36579098 -418.66552039 -379.14446386 -374.33802836 -340.70478145]
Episode: 93, total numsteps: 93000, episode steps: 1000, reward: [-475.36579098 -418.35924927 -379.14446386 -374.39272733 -340.70478145]
Episode: 94, total numsteps: 94000, episode steps: 1000, reward: [-475.36579098 -418.42321866 -379.14446386 -374.73390288 -340.70478144]
Episode: 95, total numsteps: 95000, episode steps: 1000, reward: [-475.36579098 -417.89611762 -379.14446386 -374.71413807 -340.70478145]
Episode: 96, total numsteps: 96000, episode steps: 1000, reward: [-475.36579098 -417.96309296 -379.14446386 -374.89892484 -340.70478145]
Episode: 97, total numsteps: 97000, episode steps: 1000, reward: [-475.36579098 -417.34305457 -379.14446386 -374.22007764 -340.70478145]
Episode: 98, total numsteps: 98000, episode steps: 1000, reward: [-475.36579098 -417.33140289 -379.14446386 -374.07633696 -340.70478145]
Episode: 99, total numsteps: 99000, episode steps: 1000, reward: [-475.36579098 -418.008354   -379.14446386 -373.86922722 -340.70478145]
Episode: 100, total numsteps: 100000, episode steps: 1000, reward: [-475.36579098 -417.55151447 -379.13859179 -373.79671164 -340.70478145]
Episode: 101, total numsteps: 101000, episode steps: 1000, reward: [-475.36579098 -417.88459442 -379.14446386 -375.09609015 -340.70478145]
Episode: 102, total numsteps: 102000, episode steps: 1000, reward: [-475.36579098 -418.90480073 -379.14446386 -375.47823921 -340.70478145]
Episode: 103, total numsteps: 103000, episode steps: 1000, reward: [-475.36579098 -417.69169843 -379.14446386 -373.83540643 -340.70478145]
Episode: 104, total numsteps: 104000, episode steps: 1000, reward: [-475.36579098 -418.47470245 -379.14446386 -374.2401561  -340.70478145]
Episode: 105, total numsteps: 105000, episode steps: 1000, reward: [-475.36579098 -417.68494067 -379.14446386 -373.8540798  -340.70478145]
Episode: 106, total numsteps: 106000, episode steps: 1000, reward: [-475.36579098 -417.92238354 -379.14446386 -374.74827215 -340.70478145]
Episode: 107, total numsteps: 107000, episode steps: 1000, reward: [-475.36579098 -417.73177117 -379.14446386 -374.49334895 -340.70478145]
Episode: 108, total numsteps: 108000, episode steps: 1000, reward: [-475.36579098 -417.48521402 -379.14446386 -374.19243075 -340.70478145]
Episode: 109, total numsteps: 109000, episode steps: 1000, reward: [-475.36579098 -417.5275843  -379.14446386 -374.09511502 -340.70478145]
Episode: 110, total numsteps: 110000, episode steps: 1000, reward: [-475.36579098 -417.52640493 -379.14446386 -374.07340423 -340.70478145]
Episode: 111, total numsteps: 111000, episode steps: 1000, reward: [-475.36579098 -417.15174082 -379.14446386 -374.00787899 -340.70478145]
Episode: 112, total numsteps: 112000, episode steps: 1000, reward: [-475.36579098 -417.81618161 -379.14446386 -374.09306674 -340.70478145]
Episode: 113, total numsteps: 113000, episode steps: 1000, reward: [-475.36579098 -418.65829366 -379.14446386 -374.14829563 -340.70478144]
Episode: 114, total numsteps: 114000, episode steps: 1000, reward: [-475.36579098 -417.84354642 -379.14446386 -373.97787144 -340.70478145]
Episode: 115, total numsteps: 115000, episode steps: 1000, reward: [-475.36579098 -418.25245278 -379.14446386 -374.43024317 -340.70478145]
Episode: 116, total numsteps: 116000, episode steps: 1000, reward: [-475.36579098 -417.98550097 -379.14446386 -374.35430367 -340.70478145]
Episode: 117, total numsteps: 117000, episode steps: 1000, reward: [-475.36579098 -417.55844311 -379.14446386 -374.29609284 -340.70478145]
Episode: 118, total numsteps: 118000, episode steps: 1000, reward: [-475.36579098 -417.63860057 -379.14446386 -374.24070109 -340.70478145]
Episode: 119, total numsteps: 119000, episode steps: 1000, reward: [-475.36579098 -418.18409756 -379.14446386 -374.831545   -340.70478145]
Episode: 120, total numsteps: 120000, episode steps: 1000, reward: [-475.36579098 -417.74152896 -379.14446386 -374.29418737 -340.70478145]
Episode: 121, total numsteps: 121000, episode steps: 1000, reward: [-475.36579098 -418.00652961 -379.14446386 -374.11583802 -340.70478145]
Episode: 122, total numsteps: 122000, episode steps: 1000, reward: [-475.36579098 -417.72557457 -379.14446386 -374.58065602 -340.70478145]
Episode: 123, total numsteps: 123000, episode steps: 1000, reward: [-475.36579098 -417.86031449 -379.14446386 -375.31507786 -340.70478145]
Episode: 124, total numsteps: 124000, episode steps: 1000, reward: [-475.36579098 -418.63117219 -379.14446386 -374.71387924 -340.70478145]
