
Episode: 127, total numsteps: 63500, episode steps: 500, reward: [-377.93854691 -349.07289912 -316.06537007 -288.54750264 -328.64806236]
Episode: 128, total numsteps: 64000, episode steps: 500, reward: [-376.91420819 -351.37264165 -321.13235705 -310.84375438 -309.95657331]
Episode: 129, total numsteps: 64500, episode steps: 500, reward: [-396.47809366 -347.10806463 -309.72432235 -281.48643443 -307.00742424]
Episode: 130, total numsteps: 65000, episode steps: 500, reward: [-394.20378174 -325.41129921 -329.33107628 -287.06423091 -318.88771267]
Episode: 131, total numsteps: 65500, episode steps: 500, reward: [-374.6285439  -335.34348474 -326.94716397 -284.2360806  -340.58643549]
Episode: 132, total numsteps: 66000, episode steps: 500, reward: [-386.99757669 -318.80219876 -316.95352137 -285.50020489 -328.20187357]
Episode: 133, total numsteps: 66500, episode steps: 500, reward: [-386.81891742 -325.83097542 -320.49445811 -289.88115469 -329.57180019]
Episode: 134, total numsteps: 67000, episode steps: 500, reward: [-379.46527831 -341.4789291  -322.90004572 -280.47395521 -323.06784347]
Episode: 135, total numsteps: 67500, episode steps: 500, reward: [-365.76251872 -337.55349333 -298.04633074 -289.07403321 -331.02043296]
Episode: 136, total numsteps: 68000, episode steps: 500, reward: [-387.31564366 -335.17276853 -305.28467534 -294.03173119 -338.41959102]
Episode: 137, total numsteps: 68500, episode steps: 500, reward: [-395.38109923 -344.26946316 -321.71492495 -299.61557116 -306.37822153]
Episode: 138, total numsteps: 69000, episode steps: 500, reward: [-381.13216564 -318.6086916  -334.85924323 -279.09458571 -316.89470673]
Episode: 139, total numsteps: 69500, episode steps: 500, reward: [-374.1614708  -349.28551492 -320.44301105 -281.32629734 -333.84250238]
Episode: 140, total numsteps: 70000, episode steps: 500, reward: [-400.54855553 -339.36127697 -304.48963393 -282.12076763 -350.25422637]
Episode: 141, total numsteps: 70500, episode steps: 500, reward: [-378.25313565 -338.46026083 -316.49309269 -292.74093874 -321.1701526 ]
Episode: 142, total numsteps: 71000, episode steps: 500, reward: [-373.76845164 -334.74227476 -309.18460292 -284.39640756 -323.45494218]
Episode: 143, total numsteps: 71500, episode steps: 500, reward: [-391.95028934 -340.6323188  -312.0915727  -299.37325362 -318.22575628]
Episode: 144, total numsteps: 72000, episode steps: 500, reward: [-387.70991008 -339.95399512 -329.7672394  -293.69968102 -306.71086733]
Episode: 145, total numsteps: 72500, episode steps: 500, reward: [-386.27832819 -323.13497946 -321.40170347 -302.1393883  -304.465062  ]
Episode: 146, total numsteps: 73000, episode steps: 500, reward: [-382.26707128 -322.53984075 -318.32721003 -288.00564452 -323.54898378]
Episode: 147, total numsteps: 73500, episode steps: 500, reward: [-395.95825593 -324.02954834 -334.77359629 -280.76417305 -320.23225084]
Episode: 148, total numsteps: 74000, episode steps: 500, reward: [-388.35235306 -331.90751358 -310.54060922 -289.87940098 -316.78135219]
Episode: 149, total numsteps: 74500, episode steps: 500, reward: [-393.03268712 -333.25832428 -303.94983737 -304.28127888 -319.17941299]
Episode: 150, total numsteps: 75000, episode steps: 500, reward: [-380.56091173 -339.42827633 -334.52902231 -292.1024707  -331.19547526]
Episode: 151, total numsteps: 75500, episode steps: 500, reward: [-377.17137189 -312.40028538 -309.89781914 -298.65048614 -314.60252607]
Episode: 152, total numsteps: 76000, episode steps: 500, reward: [-380.88807319 -348.02316252 -323.7587955  -293.99695827 -316.32459745]
Episode: 153, total numsteps: 76500, episode steps: 500, reward: [-370.49987222 -350.23754036 -335.99417792 -290.56673294 -318.4516787 ]
Episode: 154, total numsteps: 77000, episode steps: 500, reward: [-361.40504597 -341.32262118 -325.33168296 -285.71645917 -338.63943609]
Episode: 155, total numsteps: 77500, episode steps: 500, reward: [-388.61588692 -324.45521841 -330.12719606 -297.03390823 -298.42667211]
Episode: 156, total numsteps: 78000, episode steps: 500, reward: [-376.66797173 -309.21519466 -336.05939421 -296.77591545 -316.84480076]
Episode: 157, total numsteps: 78500, episode steps: 500, reward: [-385.01067578 -340.79178056 -314.2915787  -283.33316524 -338.83402235]
Episode: 158, total numsteps: 79000, episode steps: 500, reward: [-388.1616841  -332.12303893 -320.21798018 -296.10340052 -329.05454584]
Episode: 159, total numsteps: 79500, episode steps: 500, reward: [-380.32753756 -333.18929099 -344.34336374 -281.98928664 -326.97597162]
Episode: 160, total numsteps: 80000, episode steps: 500, reward: [-398.0039202  -334.35978892 -334.12512069 -310.49623781 -314.77808929]
Episode: 161, total numsteps: 80500, episode steps: 500, reward: [-395.35788355 -320.82144451 -312.9376205  -293.11478251 -322.76397803]
Episode: 162, total numsteps: 81000, episode steps: 500, reward: [-376.11764611 -350.66856659 -323.16566532 -299.70913638 -344.60742338]
Episode: 163, total numsteps: 81500, episode steps: 500, reward: [-384.39890072 -323.10493988 -316.29148454 -288.80082876 -307.44753851]
Episode: 164, total numsteps: 82000, episode steps: 500, reward: [-395.79756366 -337.78936854 -318.90773205 -286.78931622 -322.36181816]
Episode: 165, total numsteps: 82500, episode steps: 500, reward: [-381.55311436 -327.56346037 -326.58782966 -288.78421689 -306.31139783]
